VLC;Jarak;Risk
0.84;214;Bahaya
0.8;227;Bahaya
0.94;207;Bahaya
0.96;196;Bahaya
0.64;222;Bahaya
0.64;209;Bahaya
0.95;205;Bahaya
0.2;225;Bahaya
0.2;213;Bahaya
1.24;204;Bahaya
0.2;206;Bahaya
0.2;199;Bahaya
0.72;232;Bahaya
0.24;205;Bahaya
0.23;209;Bahaya
0.2;196;Bahaya
0.2;210;Bahaya
1.24;201;Bahaya
0.5;183;Bahaya
1.26;204;Bahaya
0.2;214;Bahaya
0.49;227;Bahaya
0.64;191;Bahaya
0.36;196;Bahaya
0.2;222;Bahaya
0.2;209;Bahaya
0.2;208;Bahaya
0;205;Bahaya
0.26;205;Bahaya
0.2;225;Bahaya
0.2;213;Bahaya
1.2;204;Bahaya
0.2;206;Bahaya
0.95;199;Bahaya
0.2;227;Bahaya
0.53;207;Bahaya
0.5;219;Bahaya
0.2;203;Bahaya
0.84;218;Bahaya
0.47;191;Bahaya
1.24;196;Bahaya
0.2;222;Bahaya
0.96;209;Bahaya
1.26;208;Bahaya
0.2;205;Bahaya
1.24;205;Bahaya
0.2;225;Bahaya
1.23;213;Bahaya
1.26;204;Bahaya
1.26;206;Bahaya
0.96;199;Bahaya
0.2;225;Bahaya
0;213;Bahaya
0.2;204;Bahaya
0.91;206;Bahaya
0.57;199;Bahaya
0.74;232;Bahaya
0.23;205;Bahaya
0.5;209;Bahaya
0.2;196;Bahaya
0.74;210;Bahaya
0.49;201;Bahaya
0.46;183;Bahaya
0.16;204;Bahaya
0.46;214;Bahaya
0.56;199;Bahaya
0.2;225;Bahaya
0.46;213;Bahaya
0.2;204;Bahaya
0.19;206;Bahaya
0.2;199;Bahaya
0.19;232;Bahaya
0.2;205;Bahaya
0.19;209;Bahaya
0.2;196;Bahaya
0.43;226;Bahaya
0.34;210;Bahaya
0.48;204;Bahaya
0.64;206;Bahaya
0.24;199;Bahaya
0.2;232;Bahaya
0.31;205;Bahaya
0.2;209;Bahaya
0.2;196;Bahaya
0.2;210;Bahaya
0.2;201;Bahaya
0.5;183;Bahaya
0.2;204;Bahaya
0.63;214;Bahaya
1.12;199;Bahaya
0;225;Bahaya
0.2;213;Bahaya
0.2;204;Bahaya
0.15;206;Bahaya
0.31;199;Bahaya
0.37;232;Bahaya
0.2;205;Bahaya
0.2;209;Bahaya
0.2;196;Bahaya
1.11;226;Bahaya
0.2;210;Bahaya
0.2;232;Bahaya
0.2;205;Bahaya
0.2;209;Bahaya
1.26;196;Bahaya
0.2;210;Bahaya
0.96;201;Bahaya
1.2;183;Bahaya
0.2;204;Bahaya
0.2;214;Bahaya
0.64;227;Bahaya
0.2;207;Bahaya
0.2;219;Bahaya
0.37;203;Bahaya
0.5;218;Bahaya
0.2;191;Bahaya
0.14;196;Bahaya
0.14;222;Bahaya
0.2;209;Bahaya
0.53;208;Bahaya
0.2;205;Bahaya
0.27;205;Bahaya
0.2;225;Bahaya
0.2;222;Bahaya
0.12;209;Bahaya
0;208;Bahaya
0.92;205;Bahaya
0.2;205;Bahaya
1.26;213;Bahaya
0.64;204;Bahaya
1.12;206;Bahaya
0.2;199;Bahaya
0.41;219;Bahaya
0.21;212;Bahaya
0.25;211;Bahaya
0.19;224;Bahaya
0.2;226;Bahaya
0.37;211;Bahaya
0.19;229;Bahaya
0.19;213;Bahaya
0.2;215;Bahaya
0.27;208;Bahaya
0.19;223;Bahaya
0.2;223;Bahaya
0.19;209;Bahaya
0.94;222;Bahaya
0.2;257;Bahaya
0.2;256;Bahaya
0.2;256;Bahaya
0.2;152;Bahaya
0.2;252;Bahaya
0.2;242;Bahaya
0.2;262;Bahaya
0.2;250;Bahaya
0.2;246;Bahaya
0.2;246;Bahaya
0.2;248;Bahaya
0.2;248;Bahaya
0.2;250;Bahaya
0.2;250;Bahaya
0.2;251;Bahaya
0.2;252;Bahaya
0.2;252;Bahaya
0.2;254;Bahaya
0.2;253;Bahaya
0.2;253;Bahaya
0.2;252;Bahaya
0.2;254;Bahaya
0.2;254;Bahaya
0.2;253;Bahaya
0.2;254;Bahaya
0.2;257;Bahaya
0.2;248;Bahaya
0.2;253;Bahaya
0.2;255;Bahaya
0.2;252;Bahaya
